image	group	direction	name
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003187.nii.gz	trm_557b493133416	in	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003193.nii.gz	trm_557b493133416	in	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/002714.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/008625.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/002718.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000136.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000135.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003041.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003040.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000139.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000138.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000166.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003129.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/002963.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000407.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000004.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000401.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/008718.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/008719.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000120.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000122.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003131.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003039.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000415.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000412.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000418.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000419.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000190.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/003142.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000116.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000111.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000395.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000394.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/002824.nii.gz	trm_557b493133416	out	place maintenance
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison/data/resampled_z/000142.nii.gz	trm_557b493133416	out	place maintenance
