activation	31352.0
imageability	11187.0
association	8306.0
eating	7950.0
emotion	7621.0
memory	6574.0
attention	4659.0
inference	4504.0
action	3599.0
perception	3203.0
learning	3058.0
generalization	2816.0
pain	2777.0
audition	2712.0
movement	2581.0
language	2529.0
reading	2411.0
encoding	2271.0
retrieval	2140.0
cueing	1997.0
inhibition	1987.0
integration	1937.0
decision	1917.0
context	1895.0
working memory	1824.0
lying	1710.0
recognition	1677.0
detection	1672.0
meaning	1591.0
search	1537.0
categorization	1492.0
risk	1455.0
articulation	1441.0
localization	1238.0
fear	1226.0
expectancy	1189.0
adaptation	1172.0
judgment	1049.0
manipulation	1013.0
focus	1008.0
familiarity	1002.0
somatosensation	990.0
anticipation	950.0
planning	937.0
discrimination	920.0
stress	917.0
naming	906.0
goal	891.0
anxiety	792.0
imagery	784.0
knowledge	780.0
monitoring	776.0
decision making	729.0
concept	727.0
priming	724.0
cognitive control	722.0
loss	693.0
interference	688.0
strategy	673.0
efficiency	659.0
distraction	649.0
thought	648.0
internalizing	630.0
valence	612.0
Strength	609.0
intention	608.0
listening	584.0
automaticity	573.0
sleep	566.0
default mode network	550.0
rule	549.0
arousal	539.0
reasoning	520.0
communication	519.0
recall	508.0
salience	503.0
sadness	501.0
skill	497.0
episodic memory	484.0
happiness	483.0
externalizing	476.0
imagination	475.0
facial expression	463.0
coordination	447.0
insight	445.0
maintenance	422.0
utility	413.0
response inhibition	411.0
gaze	404.0
effort	399.0
mood	381.0
resource	366.0
empathy	362.0
rhythm	361.0
conceptualization	359.0
impulsivity	353.0
framing	352.0
competition	343.0
hyperactivity	341.0
social cognition	335.0
emotion regulation	334.0
intelligence	294.0
conversation	279.0
memory retrieval	264.0
belief	259.0
navigation	259.0
motor control	257.0
negative emotion	257.0
semantic processing	253.0
balance	249.0
language processing	249.0
fixation	241.0
uncertainty	239.0
spatial attention	236.0
reward processing	235.0
multisensory	229.0
morphology	226.0
openness	224.0
extinction	223.0
addiction	221.0
updating	220.0
psychosis	213.0
hallucination	212.0
olfaction	211.0
metaphor	209.0
task difficulty	206.0
selective attention	200.0
analogy	199.0
habit	198.0
theory of mind	196.0
Dyslexia	184.0
narrative	180.0
response selection	169.0
parsing	162.0
autobiographical memory	162.0
consciousness	161.0
surprise	158.0
semantic memory	158.0
nociception	156.0
