	correct	incorrect	number_images
trm_558c73f3c8c6f	92	0	1.0
trm_557b4bb7cf05b	73	19	1.0
trm_55ef687f48a9d	379	81	5.0
trm_568427366401c	586	58	7.0
trm_4aae62e4ad209	2019	465	27.0
trm_557b4b3a6a34d	2723	311	33.0
trm_4a3fd79d0a891	4704	630	58.0
trm_4a3fd79d0a30c	427	33	5.0
trm_4a3fd79d0b967	4704	630	58.0
trm_4a3fd79d0a1d1	67	25	1.0
trm_557b476527a27	171	105	3.0
trm_4a3fd79d0a038	1517	139	18.0
trm_557b4b652cbec	320	48	4.0
trm_557b471bc6cd8	84	8	1.0
trm_55b6b910b4b23	213	63	3.0
trm_4a3fd79d0b58f	906	196	12.0
trm_4a3fd79d0ab7c	4863	839	62.0
trm_557b48a224b95	152	124	3.0
trm_557b4b9ccdc4a	906	196	12.0
trm_4ee8facd77dfc	67	25	1.0
trm_55c298bbe56d5	77	15	1.0
trm_557b4aa070c10	481	71	6.0
trm_4a3fd79d0af66	443	17	5.0
trm_558c7ae1eaf86	72	112	2.0
trm_4a3fd79d09ab2	798	122	10.0
trm_558c7b707f606	184	0	2.0
trm_557b482a7c62b	246	30	3.0
trm_4a3fd79d0a398	2810	316	34.0
trm_55c6f87595b39	181	3	2.0
trm_557b4b47d994a	230	46	3.0
trm_557b4b7e68727	231	45	3.0
trm_4a3fd79d0a613	443	17	5.0
trm_4a3fd79d0a17f	13	79	1.0
trm_557b4b7176394	4248	534	52.0
trm_557b4817db34d	65	27	1.0
trm_4a3fd79d0a7bb	492	60	6.0
trm_5519b7525d7a2	258	110	4.0
trm_557b4993a0fdd	492	60	6.0
trm_4a3fd79d0b64e	103	81	2.0
trm_56798c5f25b0c	38	54	1.0
trm_557b474e2b578	535	17	6.0
trm_558c736199abd	146	38	2.0
trm_55b6b96e77df6	46	46	1.0
trm_5519b80525e89	704	124	9.0
trm_559f0986182cc	74	110	2.0
trm_557b477b4a15f	177	7	2.0
trm_4a3fd79d0af71	3800	338	45.0
trm_557b4a81a4a17	75	201	3.0
trm_557b4b05ae470	87	5	1.0
trm_557b4abe521af	91	1	1.0
trm_4a3fd79d0b46f	175	9	2.0
trm_557b493e4203a	271	5	3.0
trm_55ef273a77a86	92	0	1.0
trm_557b4af7cc1cb	177	7	2.0
trm_4a3fd79d0ab65	320	48	4.0
trm_55b6b9a666604	130	54	2.0
trm_557b478ce1c24	183	1	2.0
trm_55b6b9d7c9435	977	127	12.0
trm_4a3fd79d0a20c	558	86	7.0
trm_5159beaf80413	26	66	1.0
trm_557b4855a12b4	144	38	2.0
trm_4a3fd79d0b61f	52	40	1.0
trm_557b49851e991	850	70	10.0
trm_557b47abe9a34	90	2	1.0
trm_51a690a7492eb	67	25	1.0
trm_4a3fd79d0b4a9	917	95	11.0
trm_4a3fd79d0ba30	1109	271	15.0
trm_55ef1fd2bc418	54	38	1.0
trm_4a3fd79d09af8	30	62	1.0
trm_558c7b14c076e	349	19	4.0
trm_557b48aeb7d58	84	8	1.0
trm_567982752ff4a	103	81	2.0
trm_557b4b154e0d9	427	33	5.0
trm_4a3fd79d09c5b	273	3	3.0
trm_4a3fd79d0b802	586	58	7.0
trm_557b4aeaeb744	181	3	2.0
trm_557b491318742	704	32	8.0
trm_4a3fd79d0a5ed	273	3	3.0
trm_5678a999f1c19	84	8	1.0
trm_557b48f22ba99	209	65	3.0
trm_4a3fd79d09d93	270	6	3.0
trm_555cfb890d721	213	63	3.0
trm_558c7b337080f	183	1	2.0
trm_4a3fd79d09c28	704	32	8.0
trm_559f0a5b4cd36	38	54	1.0
trm_557b4891e9265	456	96	6.0
trm_557b495cdde57	15	77	1.0
trm_4a3fd79d0aa76	169	107	3.0
trm_4a3fd79d0aab0	994	110	12.0
trm_55b6b952c1b4c	49	43	1.0
trm_4a3fd79d0a723	146	38	2.0
trm_4a3fd79d0a908	38	54	1.0
trm_557b48e337218	293	75	4.0
trm_4a3fd79d0a775	77	15	1.0
trm_557b4a913f8cc	65	27	1.0
trm_55b6b98b88f45	39	53	1.0
trm_558c7b5228ed4	237	39	3.0
trm_4a3fd79d0b5a7	154	30	2.0
trm_55ef3ba010121	183	1	2.0
trm_4a3fd79d09902	175	9	2.0
trm_4a3fd79d0b043	91	1	1.0
trm_4c3e05903e4bb	1006	282	14.0
trm_557b4acdee820	54	38	1.0
trm_557b4b56de455	220	148	4.0
trm_557b494ca540d	92	0	1.0
trm_558c7439832d9	91	1	1.0
trm_4a3fd79d0afcf	60	124	2.0
trm_4a3fd79d09849	116	160	3.0
trm_4a3fd79d0b1b2	175	9	2.0
trm_4a3fd79d0b4b5	4504	646	56.0
trm_4a3fd79d0a33b	506	138	7.0
trm_557b4a7315f1b	3867	547	48.0
trm_4c3e04d656f06	12	80	1.0
trm_5534111a8bc96	94	90	2.0
trm_557b4b27dfd5e	87	5	1.0
trm_4a3fd79d0b665	246	30	3.0
trm_557b493133416	178	6	2.0
trm_557b4add1837e	72	204	3.0
trm_55ce70b20186b	957	147	12.0
trm_55ef153d47bc0	65	27	1.0
trm_557b499fac085	12	80	1.0
trm_4a3fd79d0b13d	458	94	6.0
trm_557b49206928b	84	8	1.0
trm_557b48d40d3cf	13	79	1.0
trm_55c6f58e77fbe	77	15	1.0
trm_557b49ad14adf	12	80	1.0
trm_55b6b92c1fd76	39	53	1.0
trm_4a3fd79d0b89e	586	58	7.0
trm_4a3fd79d0b392	458	94	6.0
trm_557b4b8cd05ca	181	3	2.0
trm_557b4904ee26d	132	144	3.0
trm_559f09a5cdca9	81	11	1.0
