	correct	incorrect	number_images
face maintenance	1.0	0.0	2.0
left hand response execution	1.0	0.0	2.0
body maintenance	1.0	0.0	2.0
place maintenance	1.0	0.0	2.0
tongue response execution	1.0	0.0	1.0
visual body recognition	1.0	0.0	2.0
visual place recognition	1.0	0.0	3.0
color recognition	0.994382022472	0.00561797752809	2.0
pattern recognition	0.991573033708	0.00842696629213	4.0
visual pattern recognition	0.991573033708	0.00842696629213	4.0
right toe response execution	0.988764044944	0.0112359550562	1.0
right hand response execution	0.983146067416	0.0168539325843	2.0
pattern maintenance	0.977528089888	0.0224719101124	1.0
left finger response execution	0.977528089888	0.0224719101124	1.0
visual tool recognition	0.977528089888	0.0224719101124	2.0
tool maintenance	0.977528089888	0.0224719101124	2.0
positive feedback processing	0.973782771536	0.0262172284644	3.0
inference	0.966292134831	0.0337078651685	3.0
visual face recognition	0.966292134831	0.0337078651685	5.0
causal inference	0.966292134831	0.0337078651685	3.0
left toe response execution	0.966292134831	0.0337078651685	1.0
visual letter recognition	0.966292134831	0.0337078651685	1.0
face recognition	0.966292134831	0.0337078651685	5.0
subjective value judgment	0.965517241379	0.0344827586207	2.0
judgment	0.965517241379	0.0344827586207	2.0
risk processing	0.965517241379	0.0344827586207	1.0
economic value processing	0.965517241379	0.0344827586207	1.0
confidence judgment	0.965517241379	0.0344827586207	1.0
categorization	0.963483146067	0.0365168539326	8.0
auditory sentence recognition	0.960674157303	0.0393258426966	4.0
color perception	0.958801498127	0.0411985018727	3.0
word maintenance	0.955056179775	0.0449438202247	1.0
vocal response execution	0.955056179775	0.0449438202247	2.0
auditory tone perception	0.955056179775	0.0449438202247	1.0
response execution	0.951030927835	0.0489690721649	48.0
visual object recognition	0.949948927477	0.050051072523	11.0
emotion recognition	0.943820224719	0.0561797752809	3.0
visual pseudoword recognition	0.943820224719	0.0561797752809	1.0
emotional face recognition	0.943820224719	0.0561797752809	3.0
error detection	0.935794542536	0.0642054574639	7.0
sentence processing	0.932584269663	0.0674157303371	7.0
language processing	0.932584269663	0.0674157303371	7.0
sentence recognition 	0.932584269663	0.0674157303371	7.0
object recognition	0.927767354597	0.0722326454034	12.0
learning	0.925093632959	0.0749063670412	6.0
working memory maintenance	0.925093632959	0.0749063670412	12.0
reinforcement learning	0.925093632959	0.0749063670412	6.0
spatial selective attention	0.921348314607	0.0786516853933	1.0
selective attention	0.921348314607	0.0786516853933	1.0
decision making	0.917602996255	0.0823970037453	18.0
response selection	0.911272181955	0.0887278180455	45.0
self control	0.910112359551	0.0898876404494	1.0
emotion regulation	0.910112359551	0.0898876404494	1.0
emotional suppression	0.910112359551	0.0898876404494	1.0
right finger response execution	0.906367041199	0.0936329588015	3.0
potential monetary loss	0.898876404494	0.101123595506	1.0
visual sentence recognition	0.895131086142	0.104868913858	3.0
visual recognition	0.894941634241	0.105058365759	52.0
language comprehension	0.887640449438	0.112359550562	1.0
visual form discrimination	0.887640449438	0.112359550562	1.0
visual color discrimination	0.887640449438	0.112359550562	1.0
story comprehension	0.887640449438	0.112359550562	1.0
recognition	0.886583947266	0.113416052734	58.0
memory	0.886583947266	0.113416052734	58.0
visual perception	0.883580891208	0.116419108792	56.0
risk seeking	0.880681818182	0.119318181818	2.0
decision under uncertainty	0.880681818182	0.119318181818	2.0
form perception	0.862103174603	0.137896825397	34.0
feature comparison	0.861423220974	0.138576779026	6.0
visual form recognition	0.86132879046	0.13867120954	33.0
maintenance	0.856714178545	0.143285821455	15.0
feedback processing	0.85346215781	0.14653784219	7.0
perception	0.846181752222	0.153818247778	62.0
auditory recognition	0.840449438202	0.159550561798	5.0
proactive control	0.834459459459	0.165540540541	10.0
spatial attention	0.831460674157	0.168539325843	2.0
attention	0.831460674157	0.168539325843	2.0
visual attention	0.831460674157	0.168539325843	2.0
oddball detection	0.827247191011	0.172752808989	8.0
social cognition	0.81015037594	0.18984962406	6.0
theory of mind	0.81015037594	0.18984962406	6.0
auditory tone detection	0.807116104869	0.192883895131	6.0
visual word recognition	0.800561797753	0.199438202247	12.0
word recognition	0.800561797753	0.199438202247	12.0
numerical scale judgment	0.788679245283	0.211320754717	3.0
