	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_imaging_runs	number_of_rejected_subjects	number_of_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
21	10.1073/pnas.0905267106		2016-01-02T04:09:40.658881Z	S. M. Smith, P. T. Fox, K. L. Miller, D. C. Glahn, P. M. Fox, C. E. Mackay, N. Filippini, K. E. Watkins, R. Toro, A. R. Laird and C. F. Beckmann						2016-01-02T04:29:57.184430Z																				1054								Proceedings of the National Academy of Sciences					2016-01-02T04:33:00.496930Z					Correspondence of the brain's functional architecture during activation and rest												1	ChrisFiloGorgolewski	http://www.pnas.org/cgi/doi/10.1073/pnas.0905267106																							http://neurovault.org/collections/1054/												
22	10.1038/nn.3673		2014-03-25T20:52:35.182187Z	Tom Schonberg, Akram Bakkour, Ashleigh M Hover, Jeanette A Mumford, Lakshya Nagar, Jacob Perez and Russell A Poldrack						2014-03-25T20:52:35.182187Z			3.0														right			35								Nature Neuroscience					2015-12-23T11:00:50.889869Z					Changing value through cued approach: an automatic mechanism of behavior change					21.0							52	tomtom	http://www.nature.com/doifinder/10.1038/nn.3673			Multiband				Siemens	Skyra														eventrelated	http://neurovault.org/collections/35/												
33	10.1016/j.neuroimage.2009.12.112		2015-09-16T16:44:08.302079Z	Svenja Caspers, Karl Zilles, Angela R. Laird and Simon B. Eickhoff					We investigated the neural correlates of action observation and imitation in the human brain, based on 139 functional imaging studies. For both types of task, bilateral networks were found. These did not only involve classic mirror neuron areas such as inferior frontal and inferior parietal cortex, but also dorsal premotor, superior parietal, posterior superior temporal and extrastriate visual areas. Additional analyses revealed the influence of effector used during the action, the instruction given to the subjects, and the involvement of objects during the action. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T16:44:08.301223Z					http://anima.modelgui.org/studies/Caspers_ActionImitationObservation_2010															824								NeuroImage					2015-12-23T20:22:05.324285Z					ALE meta-analysis of action observation and imitation in the human brain												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811909014013																							http://neurovault.org/collections/824/												
35	10.1016/j.neuroimage.2013.09.069		2014-08-26T13:25:34.036905Z	Andreas Horn, Dirk Ostwald, Marco Reisert and Felix Blankenburg					The maps show indices of whole-brain structure-function overlap measured in a voxel-wise fashion within whole-brain grey matter. Structural connectivity as estimated by local and global fiber tracking, as well as functional connectivity as estimated by fMRI resting-state correlations have been compared for each voxel. Thus, voxels with high intensity show high correlation between their whole-brain structural and functional connectivity to the rest of the brain.	2014-08-26T13:25:34.036905Z																				109								NeuroImage					2015-09-15T03:47:06.956343Z					The structural–functional connectome and the default mode network of the human brain												110	andreashorn	http://linkinghub.elsevier.com/retrieve/pii/S1053811913010057																							http://neurovault.org/collections/109/												
51	10.1093/cercor/bhs256		2015-09-16T16:44:24.268381Z	E. C. Cieslik, K. Zilles, S. Caspers, C. Roski, T. S. Kellermann, O. Jakobs, R. Langner, A. R. Laird, P. T. Fox and S. B. Eickhoff					This study shows that the right DLPFC as observed in 4 different experiments of executive action control may be subdivided into 2 distinct subregions -- an anterior-ventral and a posterior-dorsal one -- based on their whole-brain co-activation patterns across neuroimaging studies. The posterior subregion showed increased connectivity with bilateral intraparietal sulci, whereas the anterior subregion showed increased connectivity with the anterior cingulate cortex. Functional characterization revealed the anterior network to be more strongly associated with attention and action inhibition processes, whereas the posterior network was more strongly related to action execution and working memory. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 2	2015-09-16T16:44:24.267915Z					http://anima.modelgui.org/studies/Cieslik_DLPFC_2013															825								Cerebral Cortex					2015-12-23T20:44:13.276097Z					"Is There ""One"" DLPFC in Cognitive Action Control? Evidence for Heterogeneity From Co-Activation-Based Parcellation"												555	ANIMA	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bhs256																							http://neurovault.org/collections/825/												
56	10.1523/JNEUROSCI.1314-15.2015		2015-10-05T20:34:12.508819Z	E. B. Simon, N. Oren, H. Sharon, A. Kirschner, N. Goldway, H. Okon-Singer, R. Tauman, M. M. Deweese, A. Keil and T. Hendler						2015-10-05T20:34:12.507634Z											randommixedeffects				True					865								Journal of Neuroscience					2015-10-05T20:34:12.508893Z				SPM	Losing Neutrality: The Neural Basis of Impaired Emotional Control without Sleep					17.0				interleaved			576	etibens	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.1314-15.2015					3.0		GE				SPM			SPM	8							blocked	http://neurovault.org/collections/865/	True		True		True	True				True		False
60	10.1371/journal.pone.0118733		2015-12-24T05:20:29.943084Z	Yao Wang, Yan Yin, Ya-wen Sun, Yan Zhou, Xue Chen, Wei-na Ding, Wei Wang, Wei Li, Jian-rong Xu, Ya-song Du and Martin Walter						2015-12-24T05:25:36.038635Z																				1039								PLOS ONE					2016-01-01T05:04:24.812832Z					Decreased Prefrontal Lobe Interhemispheric Functional Connectivity in Adolescents with Internet Gaming Disorder: A Primary Study Using Resting-State fMRI												1	ChrisFiloGorgolewski	http://dx.plos.org/10.1371/journal.pone.0118733																							http://neurovault.org/collections/1039/												
61	10.1038/nn1075		2016-01-03T03:44:26.503044Z	T E J Behrens, H Johansen-Berg, M W Woolrich, S M Smith, C A M Wheeler-Kingshott, P A Boulby, G J Barker, E L Sillery, K Sheehan, O Ciccarelli, A J Thompson, J M Brady and P M Matthews						2016-01-03T04:02:54.689704Z																				1056								Nature Neuroscience					2016-01-03T04:03:25.652745Z					Non-invasive mapping of connections between human thalamus and cortex using diffusion imaging												1	ChrisFiloGorgolewski	http://www.nature.com/doifinder/10.1038/nn1075																							http://neurovault.org/collections/1056/												
68	10.1038/srep10499		2015-05-26T12:18:19.714483Z	Roland N. Boubela, Klaudius Kalcher, Wolfgang Huf, Eva-Maria Seidel, Birgit Derntl, Lukas Pezawas, Christian Našel and Ewald Moser					Task fMRI using a block design matching task with fearful faces and threatening IAPS pictures versus geometric shapes showing the contribution of the Basal Vein of Rosenthal (BVR) to signal changes near the amygdala.	2015-05-26T12:18:19.714483Z			3.0			True		False			fixedeffects		Mean of Beta estimates		False					588				nonlinear	glm	regression	AFNI	Scientific Reports	30.0	560.0			2015-09-15T03:47:06.967735Z					fMRI measurements of amygdala activation are confounded by stimulus correlated signal fluctuation in nearby veins draining distant brain regions												119	klaudius.kalcher	http://www.nature.com/doifinder/10.1038/srep10499							Siemens	TIM Trio						AFNI								blocked	http://neurovault.org/collections/588/	True	False	False	True	True	True	False		False	False		False
80	10.1152/jn.00338.2011		2016-01-03T04:15:58.273250Z	B. T. Thomas Yeo, F. M. Krienen, J. Sepulcre, M. R. Sabuncu, D. Lashkari, M. Hollinshead, J. L. Roffman, J. W. Smoller, L. Zollei, J. R. Polimeni, B. Fischl, H. Liu and R. L. Buckner						2016-01-03T04:25:27.306286Z					http://surfer.nmr.mgh.harvard.edu/fswiki/CorticalParcellation_Yeo2011															1057								Journal of Neurophysiology					2016-01-17T20:53:15.191337Z					The organization of the human cerebral cortex estimated by intrinsic functional connectivity												15	yeoyeo02	http://jn.physiology.org/cgi/doi/10.1152/jn.00338.2011																							http://neurovault.org/collections/1057/												
