	CIAS	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	collection_id	image_type	is_thresholded	map_type	modality	modify_date	name	not_mni	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	type	url	image_id
2		2014-03-27T21:44:20.625647Z	group	82.5116091788	high-value go choice at probe	cnt_553e7a5b2584d	cue approach task	trm_553e77e53497d	35	35	parametric number of high value go choice at probe		Parametric effect of the number of times each high-value Go item was chosen during probe.	3A	http://neurovault.org/media/images/35/Fig3A_zstat1_2.nii.gz	740889	111	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:58:06.938807Z	Fig3A_zstat1.nii.gz	False	78.4232503055	3.20038201255	http://neurovault.org/media/images/35/transform_4mm_111.npy			http://neurovault.org/media/images/35/glass_brain_111.jpg		http://neurovault.org/images/111/	111
242		2015-09-15T07:45:18.708073Z		78.4124048652	Other	Other	Two item food choice task	trm_55c691909c580	724	724	Choice periods SC vs baseline				http://neurovault.org/media/images/724/spmT_0001.nii.gz	87092	11979	statistic_map	False	T map	fMRI-BOLD	2015-12-23T16:22:30.590571Z	Choice periods SC vs baseline	False	65.8685661765	1.04573403348	http://neurovault.org/media/images/724/transform_4mm_11979.npy			http://neurovault.org/media/images/724/glass_brain_11979.jpg		http://neurovault.org/images/11979/	11979
243		2015-09-15T07:48:24.490975Z		78.4124048652	Other	Other	Two item food choice task	trm_55c691909c580	724	724	Choice periods SC vs NSC				http://neurovault.org/media/images/724/spmT_0001_2.nii.gz	88502	11981	statistic_map	False	T map	fMRI-BOLD	2015-12-23T16:22:30.782319Z	Choice periods SC vs NSC	False	65.8685661765	1.04573403348	http://neurovault.org/media/images/724/transform_4mm_11981.npy			http://neurovault.org/media/images/724/glass_brain_11981.jpg		http://neurovault.org/images/11981/	11981
244		2015-09-15T07:46:41.277682Z		78.4124048652	Other	Other	Two item food choice task	trm_55c691909c580	724	724	Choice periods NSC vs baseline				http://neurovault.org/media/images/724/spmT_0001_1.nii.gz	87466	11980	statistic_map	False	T map	fMRI-BOLD	2015-12-23T16:22:31.596983Z	Choice periods NSC vs baseline	False	65.8685661765	1.04573403348	http://neurovault.org/media/images/724/transform_4mm_11980.npy			http://neurovault.org/media/images/724/glass_brain_11980.jpg		http://neurovault.org/images/11980/	11980
252		2015-04-16T11:45:08.193660Z	group	87.907634266	target 1-back minus 0-back	cnt_55ef43b5be6da	object one-back task	trm_4ebd47b8bab6b	518	518			one sample t-test contrast of targets in 1-back vs 0-back conditions	figure 4	http://neurovault.org/media/images/518/targ_1b_vs_0b.nii.gz	1888017	8625	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:34.154426Z	targ_1back_VS_0back	False	76.3864165228	4.83964959326	http://neurovault.org/media/images/518/transform_4mm_8625.npy			http://neurovault.org/media/images/518/glass_brain_8625.jpg		http://neurovault.org/images/8625/	8625
284		2015-09-25T20:47:16.076169Z		76.1821754096	number of correct identifications	cnt_4de96cd8c9aad	episodic recall	trm_4c898c8bf1b4f	857	857	Activation vs Rest				http://neurovault.org/media/images/857/zstat1.nii.gz	207192	12485	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:27:10.424459Z	Antonyms	False	79.5127314815	2.88684255127	http://neurovault.org/media/images/857/transform_4mm_12485.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12485.jpg		http://neurovault.org/images/12485/	12485
285		2015-09-25T21:05:27.377829Z		75.591272362	proportion of correct responses	cnt_5021ae2c2ab3c	logical reasoning task	trm_4f24154867d84	857	857					http://neurovault.org/media/images/857/zstat1_6.nii.gz	204340	12491	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T08:33:29.786890Z	PaperFolding	False	79.7114197531	2.69643264623	http://neurovault.org/media/images/857/transform_4mm_12491.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12491.jpg		http://neurovault.org/images/12491/	12491
286		2015-09-25T20:53:20.952409Z		74.9457107825	Other	Other	episodic recall	trm_4c898c8bf1b4f	857	857	Activation vs Rest				http://neurovault.org/media/images/857/zstat1_2.nii.gz	203646	12487	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T07:20:17.284486Z	PictureNaming.gfeat/	False	79.9278549383	2.48717012321	http://neurovault.org/media/images/857/transform_4mm_12487.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12487.jpg		http://neurovault.org/images/12487/	12487
287		2015-09-25T21:01:07.793575Z		76.34319649	number correct	cnt_50eb1b6d46337	pattern comparison task	trm_4da86cb034ff6	857	857	Activation vs Rest				http://neurovault.org/media/images/857/zstat1_5.nii.gz	206985	12490	statistic_map	False	Z map	fMRI-BOLD	2016-01-01T05:22:59.135114Z	PatternComparison	False	79.5015432099	2.73469848679	http://neurovault.org/media/images/857/transform_4mm_12490.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12490.jpg		http://neurovault.org/images/12490/	12490
289		2015-09-25T21:06:25.931268Z		74.4301478735	proportion of correct responses	cnt_5021ae2c2ab3c	logical reasoning task	trm_4f24154867d84	857	857					http://neurovault.org/media/images/857/zstat1_7.nii.gz	200296	12492	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T04:57:56.439763Z	MatrixReasoning	False	80.1122685185	2.25998564473	http://neurovault.org/media/images/857/transform_4mm_12492.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12492.jpg		http://neurovault.org/images/12492/	12492
