"","x"
"place maintenance",0.911111111111111
"learning",0.405038759689922
"potential monetary loss",0.659340659340659
"pattern recognition",0.65625
"reinforcement learning",0.674418604651163
"negative feedback processing",0.400568181818182
"feature comparison",0.757751937984496
"high energy density food recognition",0.230769230769231
"response inhibition",0.46896551724138
"object detection",0.629213483146067
"feedback processing",0.470930232558139
"form perception",0.508620689655172
"inhibition",0.416091954022989
"emotional suppression",0.989010989010989
"visual object maintenance",0.538888888888889
"visual letter recognition",0.395604395604396
"monetary reward prediction error",0.054945054945055
"attention",0.566666666666667
"animacy perception",0.021978021978022
"social cognition",0.531007751937985
"auditory tone discrimination",0.670411985018727
"decision making",0.412162162162162
"error detection",0.326050420168067
"emotional face recognition",0.222222222222222
"right toe response execution",0.241758241758242
"reward anticipation",0.205555555555556
"relational comparison",0.655430711610487
"stimulus detection",0.43908969210174
"story comprehension",0.274725274725275
"working memory maintenance",0.388541666666667
"context representation",0.340659340659341
"loss anticipation",0.922222222222222
"risk",0.186813186813187
"risk processing",0.0879120879120879
"response conflict",0.696629213483146
"task difficulty",0.3
"auditory tone detection",0.593023255813953
"arithmetic processing",0.966666666666667
"self control",0.725274725274725
"mental representation",0.516483516483516
"left toe response execution",0.021978021978022
"perception",0.516666666666667
"causal inference",0.561797752808989
"string maintenance",0.32967032967033
"language processing",0.650420168067227
"selective attention",0.241758241758242
"face recognition",0.714942528735632
"right hand response execution",0.6
"visual form discrimination",0.10989010989011
"face maintenance",0.427777777777778
"recognition",0.414807302231237
"memory",0.425456389452333
"emotion regulation",0.208791208791209
"right finger response execution",0.404494382022472
"visual string recognition",0.943820224719101
"auditory tone perception",0.494252873563218
"subjective food value",0.186813186813187
"visual body recognition",0.661111111111111
"visual form recognition",0.582434514637904
"emotional self-evaluation",0.0833333333333333
"visual attention",0.616666666666667
"spatial selective attention",0.527472527472527
"auditory sentence recognition",0.619318181818182
"punishment processing",0.384615384615385
"left finger response execution",0.274725274725275
"confidence judgment",0.285714285714286
"response execution",0.443971631205674
"resistance to distractor inference",0.714285714285714
"numerical scale judgment",0.254681647940075
"body maintenance",0.327777777777778
"judgment",0.288888888888889
"visual face recognition",0.508045977011494
"word maintenance",0.472527472527473
"pattern maintenance",0.054945054945055
"visual pseudoword recognition",0.054945054945055
"sentence processing",0.571428571428571
"maintenance",0.4995670995671
"word recognition",0.4125
"inference",0.449438202247191
"updating",0.583333333333333
"working memory updating",0.233333333333333
"detection",0.40625
"subjective value judgment",0.0777777777777778
"motion detection",0.549450549450549
"color recognition",0.944444444444444
"vocal response execution",0.65
"object recognition",0.517708333333333
"object maintenance",0.382022471910112
"visual sentence recognition",0.370786516853933
"tool maintenance",0.638888888888889
"spatial attention",0.394444444444444
"visual pattern recognition",0.553977272727273
"visual number recognition",0.584269662921348
"decision",0.813186813186813
"economic value processing",0.725274725274725
"decision under uncertainty",0.494505494505495
"visual perception",0.612103174603175
"discrimination",0.451704545454546
"emotion recognition",0.640449438202247
"proactive control",0.596341463414634
"negative emotion",0.956043956043956
"potential monetary reward",0.736263736263736
"selective control",0.368217054263566
"risk seeking",0.681318681318681
"left hand response execution",0.533333333333333
"visual tool recognition",0.766666666666667
"numerical comparison",0.0659340659340659
"color perception",0.310861423220974
"sentence recognition ",0.403361344537815
"visual place recognition",0.352059925093633
"auditory recognition",0.570114942528736
"visual object recognition",0.496071829405163
"auditory perception",0.596341463414634
"visual word recognition",0.452083333333333
"visual recognition",0.513942307692308
"working memory",0.272222222222222
"theory of mind",0.405038759689922
"response selection",0.621212121212121
"anticipation",0.794007490636704
"tongue response execution",0.241758241758242
"interference resolution",0.582417582417582
"decision certainty",0.956043956043956
"animacy decision",0.527472527472527
"language comprehension",0.32967032967033
"cognitive control",0.417094017094017
"positive feedback processing",0.468164794007491
"emotion",0.307692307692308
"oddball detection",0.616071428571429
"categorization",0.605421686746988
"auditory word recognition",0.164835164835165
"visual object detection",0.812734082397004
"visual color discrimination",0
