"","trm_557b493133416","trm_4a3fd79d0a7bb","trm_557b494ca540d","trm_4a3fd79d0ab65","trm_557b4993a0fdd","trm_557b48e337218","trm_557b4891e9265","trm_55c298bbe56d5","trm_4a3fd79d0af66","trm_4a3fd79d0aa76","trm_4a3fd79d0a33b","trm_4a3fd79d0a398","trm_4a3fd79d0a613","trm_4a3fd79d0a1d1","trm_559f0986182cc","trm_558c7439832d9","trm_559f0a5b4cd36","trm_4a3fd79d09902","trm_5159beaf80413","trm_4a3fd79d0b13d","trm_557b476527a27","trm_4a3fd79d0a038","trm_4a3fd79d0a20c","trm_557b482a7c62b","trm_55b6b952c1b4c","trm_557b4a81a4a17","trm_555cfb890d721","trm_5519b80525e89","trm_55c6f58e77fbe","trm_55b6b9d7c9435","trm_56798c5f25b0c","trm_557b48a224b95","trm_4a3fd79d0afcf","trm_557b4a913f8cc","trm_557b49ad14adf","trm_557b4add1837e","trm_557b474e2b578","trm_558c7ae1eaf86","trm_4ee8facd77dfc","trm_4a3fd79d0a908","trm_55b6b96e77df6","trm_4a3fd79d0ab7c","trm_4a3fd79d09c5b","trm_557b4acdee820","trm_4a3fd79d0b802","trm_4a3fd79d0b043","trm_4a3fd79d0a30c","trm_558c7b337080f","trm_557b4b27dfd5e","trm_55c6f87595b39","trm_4a3fd79d0b967","trm_4a3fd79d0a891","trm_51a690a7492eb","trm_55b6b910b4b23","trm_55ef1fd2bc418","trm_55ef273a77a86","trm_559f09a5cdca9","trm_557b4af7cc1cb","trm_557b4b3a6a34d","trm_557b4855a12b4","trm_4a3fd79d0b46f","trm_557b4abe521af","trm_558c7b14c076e","trm_5534111a8bc96","trm_55b6b92c1fd76","trm_55ef153d47bc0","trm_557b4a7315f1b","trm_557b499fac085","trm_557b48f22ba99","trm_557b477b4a15f","trm_4a3fd79d0a723","trm_557b4b154e0d9","trm_557b4bb7cf05b","trm_557b49206928b","trm_558c73f3c8c6f","trm_4a3fd79d0b89e","trm_4a3fd79d0ba30","trm_4a3fd79d0b58f","trm_4a3fd79d0a5ed","trm_4c3e05903e4bb","trm_55b6b9a666604","trm_55ce70b20186b","trm_558c736199abd","trm_557b48aeb7d58","trm_557b478ce1c24","trm_55ef3ba010121","trm_4a3fd79d0aab0","trm_557b4904ee26d","trm_558c7b5228ed4","trm_557b4aeaeb744","trm_4a3fd79d0b1b2","trm_557b4b652cbec","trm_557b4b47d994a","trm_4a3fd79d0b61f","trm_557b4817db34d","trm_567982752ff4a","trm_4a3fd79d0b4b5","trm_5519b7525d7a2","trm_4a3fd79d0b665","trm_557b49851e991","trm_557b48d40d3cf","trm_557b495cdde57","trm_557b4aa070c10","trm_4a3fd79d0b64e","trm_558c7b707f606","trm_557b4b8cd05ca","trm_5678a999f1c19","trm_4a3fd79d09d93","trm_568427366401c","trm_557b4b7e68727","trm_55ef687f48a9d","trm_4a3fd79d0b4a9","trm_4a3fd79d09ab2","trm_557b4b9ccdc4a","trm_557b4b7176394","trm_4a3fd79d0b5a7","trm_4a3fd79d0b392","trm_4a3fd79d0af71","trm_4a3fd79d09849","trm_55b6b98b88f45","trm_4c3e04d656f06","trm_557b47abe9a34","trm_557b471bc6cd8","trm_4a3fd79d0a775","trm_4aae62e4ad209","trm_557b493e4203a","trm_4a3fd79d0a17f","trm_557b491318742","trm_4a3fd79d09c28","trm_4a3fd79d09af8","trm_557b4b56de455","trm_557b4b05ae470"
"3187",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3193",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2718",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"136",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3041",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"3040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
